Benchmark,Variant,Method,Cost
CD,_Slowdown,cd.RedBlackTree.treeInsert,12.63%
CD,_Slowdown,cd.CollisionDetector.isInVoxel,6.18%
CD,_Slowdown,cd.RedBlackTree.put,6.08%
CD,_Slowdown,cd.CallSign.compareTo,5.68%
CD,_Slowdown,cd.Vector2D.compareTo,5.49%
CD,_NoSlowdown,cd.RedBlackTree.treeInsert,6.63%
CD,_NoSlowdown,cd.CollisionDetector.isInVoxel,5.52%
CD,_NoSlowdown,cd.RedBlackTree.put,3.82%
CD,_NoSlowdown,Interpreter,3.52%
CD,_NoSlowdown,cd.RedBlackTree.findNode,3.44%
DeltaBlue,_Slowdown,som.Vector.forEach,14.68%
DeltaBlue,_Slowdown,som.Vector.append,5.79%
DeltaBlue,_Slowdown,deltablue.Plan$$Lambda.apply,4.86%
DeltaBlue,_Slowdown,deltablue.Planner.addPropagate,2.05%
DeltaBlue,_Slowdown,Interpreter,2.03%
DeltaBlue,_NoSlowdown,deltablue.Plan$$Lambda.apply,8.31%
DeltaBlue,_NoSlowdown,som.Vector.forEach,6.39%
DeltaBlue,_NoSlowdown,Interpreter,3.74%
DeltaBlue,_NoSlowdown,G1ParScanThreadState::trim_queue_to_threshold(unsigned,1.57%
DeltaBlue,_NoSlowdown,deltablue.EqualityConstraint.execute,1.56%
Havlak,_Slowdown,som.Vector.hasSome,38.18%
Havlak,_Slowdown,som.Vector.<init>,12.77%
Havlak,_Slowdown,som.Vector.append,5.34%
Havlak,_Slowdown,havlak.HavlakLoopFinder.findLoops,4.51%
Havlak,_Slowdown,havlak.HavlakLoopFinder.doDFS,2.39%
Havlak,_NoSlowdown,som.Vector.hasSome,15.33%
Havlak,_NoSlowdown,som.Vector.append,4.61%
Havlak,_NoSlowdown,som.Vector.<init>,3.89%
Havlak,_NoSlowdown,havlak.HavlakLoopFinder.findLoops,3.43%
Havlak,_NoSlowdown,G1ParScanThreadState::trim_queue_to_threshold(unsigned,3.03%
Json,_Slowdown,java.lang.String.equals,22.49%
Json,_Slowdown,json.JsonPureStringParser.read,9.59%
Json,_Slowdown,java.util.Arrays.copyOfRangeByte,4.45%
Json,_Slowdown,java.lang.StringLatin1.newString,3.54%
Json,_Slowdown,java.lang.System.arraycopy,3.05%
Json,_NoSlowdown,java.lang.String.equals,9.10%
Json,_NoSlowdown,Interpreter,3.69%
Json,_NoSlowdown,jbyte_disjoint_arraycopy,2.47%
Json,_NoSlowdown,java.lang.StringLatin1.newString,2.44%
Json,_NoSlowdown,json.JsonPureStringParser.read,2.25%
Richards,_Slowdown,richards.Scheduler.schedule,15.63%
Richards,_Slowdown,richards.TaskControlBlock.runTask,15.08%
Richards,_Slowdown,richards.Scheduler.lambda$createHandler$1,5.42%
Richards,_Slowdown,richards.TaskState.isTaskHoldingOrWaiting,4.96%
Richards,_Slowdown,richards.Scheduler$$Lambda.apply,3.91%
Richards,_NoSlowdown,itable,11.21%
Richards,_NoSlowdown,richards.Scheduler.schedule,4.69%
Richards,_NoSlowdown,Interpreter,3.31%
Richards,_NoSlowdown,richards.TaskState.isTaskHoldingOrWaiting,3.31%
Richards,_NoSlowdown,richards.TaskControlBlock.getIdentity,2.67%
Bounce,_Slowdown,Bounce.benchmark,38.91%
Bounce,_Slowdown,Bounce$Ball.bounce,29.92%
Bounce,_Slowdown,som.Random.next,4.15%
Bounce,_Slowdown,Interpreter,1.06%
Bounce,_Slowdown,I2C/C2I,0.42%
Bounce,_NoSlowdown,Bounce$Ball.bounce,25.83%
Bounce,_NoSlowdown,Bounce.benchmark,5.51%
Bounce,_NoSlowdown,Interpreter,3.54%
Bounce,_NoSlowdown,I2C/C2I,1.26%
Bounce,_NoSlowdown,Bounce$Ball.<init>,1.07%
List,_Slowdown,List.isShorterThan,62.29%
List,_Slowdown,List$Element.getNext,14.67%
List,_Slowdown,List.tail,4.09%
List,_Slowdown,Interpreter,0.74%
List,_Slowdown,I2C/C2I,0.27%
List,_NoSlowdown,List$Element.getNext,29.70%
List,_NoSlowdown,List.isShorterThan,13.40%
List,_NoSlowdown,Interpreter,2.92%
List,_NoSlowdown,List.tail,2.30%
List,_NoSlowdown,I2C/C2I,1.13%
Mandelbrot,_Slowdown,Mandelbrot.mandelbrot,42.06%
Mandelbrot,_Slowdown,Interpreter,2.36%
Mandelbrot,_Slowdown,I2C/C2I,0.85%
Mandelbrot,_Slowdown,org.graalvm.collections.EconomicMapImpl.findLinear,0.71%
Mandelbrot,_Slowdown,java.util.ArrayList.add,0.52%
Mandelbrot,_NoSlowdown,Mandelbrot.mandelbrot,33.96%
Mandelbrot,_NoSlowdown,Interpreter,3.43%
Mandelbrot,_NoSlowdown,I2C/C2I,1.15%
Mandelbrot,_NoSlowdown,I2C/C2I,0.56%
Mandelbrot,_NoSlowdown,InstanceKlass::find_method_index(Array<Method*>,0.44%
NBody,_Slowdown,NBody.innerBenchmarkLoop,43.90%
NBody,_Slowdown,nbody.NBodySystem.advance,13.63%
NBody,_Slowdown,nbody.Body.getVX,1.55%
NBody,_Slowdown,Interpreter,1.55%
NBody,_Slowdown,nbody.Body.getVZ,0.59%
NBody,_NoSlowdown,nbody.NBodySystem.advance,27.60%
NBody,_NoSlowdown,nbody.Body.getVX,3.42%
NBody,_NoSlowdown,Interpreter,3.39%
NBody,_NoSlowdown,I2C/C2I,1.34%
NBody,_NoSlowdown,nbody.Body.getVZ,1.13%
Permute,_Slowdown,Permute.permute,42.85%
Permute,_Slowdown,Permute.swap,18.01%
Permute,_Slowdown,Interpreter,1.71%
Permute,_Slowdown,I2C/C2I,0.66%
Permute,_Slowdown,org.graalvm.collections.EconomicMapImpl.findLinear,0.33%
Permute,_NoSlowdown,Permute.permute,24.49%
Permute,_NoSlowdown,Permute.swap,13.83%
Permute,_NoSlowdown,Interpreter,3.22%
Permute,_NoSlowdown,I2C/C2I,1.20%
Permute,_NoSlowdown,I2C/C2I,0.56%
Queens,_Slowdown,Queens.getRowColumn,32.95%
Queens,_Slowdown,Queens.placeQueen,20.38%
Queens,_Slowdown,Queens.setRowColumn,3.88%
Queens,_Slowdown,Interpreter,1.80%
Queens,_Slowdown,Queens.queens,0.91%
Queens,_NoSlowdown,Queens.getRowColumn,13.69%
Queens,_NoSlowdown,Queens.placeQueen,9.16%
Queens,_NoSlowdown,Interpreter,4.04%
Queens,_NoSlowdown,Queens.setRowColumn,2.68%
Queens,_NoSlowdown,I2C/C2I,1.39%
Sieve,_Slowdown,Sieve.sieve,71.04%
Sieve,_Slowdown,java.util.Arrays.fill,6.50%
Sieve,_Slowdown,Interpreter,0.89%
Sieve,_Slowdown,I2C/C2I,0.36%
Sieve,_Slowdown,Sieve.benchmark,0.31%
Sieve,_NoSlowdown,Sieve.sieve,36.56%
Sieve,_NoSlowdown,java.util.Arrays.fill,4.65%
Sieve,_NoSlowdown,Interpreter,2.94%
Sieve,_NoSlowdown,I2C/C2I,1.18%
Sieve,_NoSlowdown,Sieve.benchmark,0.76%
Storage,_Slowdown,Storage.buildTreeDepth,29.99%
Storage,_Slowdown,java.util.Arrays.setAll,28.35%
Storage,_Slowdown,jdk.internal.misc.Unsafe.allocateInstance,2.87%
Storage,_Slowdown,Interpreter,1.49%
Storage,_Slowdown,som.Random.next,1.06%
Storage,_NoSlowdown,Storage.buildTreeDepth,19.86%
Storage,_NoSlowdown,java.util.Arrays.setAll,14.42%
Storage,_NoSlowdown,Interpreter,3.00%
Storage,_NoSlowdown,som.Random.next,1.68%
Storage,_NoSlowdown,I2C/C2I,1.17%
Towers,_Slowdown,Towers$TowersDisk.setNext,39.91%
Towers,_Slowdown,Towers.popDiskFrom,31.44%
Towers,_Slowdown,Towers.moveDisks,4.49%
Towers,_Slowdown,Towers.moveTopDisk,4.09%
Towers,_Slowdown,Towers.pushDisk,2.75%
Towers,_NoSlowdown,Towers.popDiskFrom,8.71%
Towers,_NoSlowdown,Towers$TowersDisk.getSize,8.08%
Towers,_NoSlowdown,Towers.pushDisk,7.44%
Towers,_NoSlowdown,Towers.moveDisks,5.72%
Towers,_NoSlowdown,Towers$TowersDisk.setNext,3.99%